x, y
45.30973487177043, 0
52.61062032045483, 0
60.13275147380669, 0
60.13275147380669, 0
64.77876948660585, 8.988729370257374e-10
68.31857923109877, 2.022471823425644e-9
71.19469237165143, 3.2584233976889883e-9
74.51327666650798, 4.719100921326502e-9
77.83186096136453, 6.629209770065061e-9
80.92919955155361, 8.426965930940182e-9
83.36284153780247, 1.0112359117128217e-8
87.12389698696285, 1.2696630383753815e-8
90.8849524361232, 1.5393259481654672e-8
93.98231128134336, 1.7752809942317922e-8
97.30089557619993, 2.0449439040218783e-8
99.95576301208519, 2.2584268694919685e-8
101.94691358899907, 2.4269661881107722e-8
104.82300647452068, 2.6404496679220453e-8
107.03540275610207, 2.8426968502646093e-8
109.24779903768346, 2.999999871414705e-8
111.9026664735687, 3.146067623778456e-8
114.115042500119, 3.202247053757269e-8
116.54868448636786, 3.179775487502217e-8
118.76106051291812, 3.0561798157347e-8
121.63717365347087, 2.775281122817088e-8
123.18585307608095, 2.539326076750763e-8
125.61947480729867, 2.1910111420444472e-8
126.94690852524133, 1.9887639597018828e-8
128.27434224318392, 1.764045211104266e-8
129.1593048068227, 1.617977458740515e-8
130.48673852476531, 1.483146003845472e-8
131.15045538373664, 1.3820224126741898e-8
