x, y
60.54455512856132, 4.702337407094791e-8
64.50494679291273, 0
71.43564636900551, 4.702337407094791e-8
81.08911025712266, 4.702337407094791e-8
89.00989358582547, 9.404674814189581e-8
95.69306089298347, 2.3511256536764158e-7
100.89107990966193, 5.642632689029831e-7
106.0890989263404, 9.874607205802204e-7
110.54454379777908, 0.0000016457707376250993
114.00990491660771, 0.000002398118892837678
116.98020149756681, 0.000003150471353037355
119.70296580959118, 0.000004231974516772373
121.68315597637577, 0.000005125392794197796
124.40594294996463, 0.000006442008523300455
127.12870726198896, 0.000007758619947416017
129.3564296977083, 0.00000898119323336388
131.08911025712263, 0.000009827588136718354
