x, y
43.46534978804639, 0
51.881186323836474, -0.000009433817634307744
60.04950192147405, -0.000009433817634307744
65.2475209381525, 0.00029245309704092513
69.70296580959119, 0.0005471700598396402
73.91088974287734, 0.000792452773151558
79.1089087595558, 0.001094339687826791
84.80198098332153, 0.0014150942377706393
89.50494679291273, 0.0016698112005693543
94.70296580959119, 0.0019339624128548666
98.91088974287734, 0.0021698113085324767
102.62376046907625, 0.002386792568941471
106.83167307158017, 0.0025849057622293605
110.79207606671383, 0.0027358490036407325
114.99998866921774, 0.0028018868067121107
118.21781751911162, 0.002745283037201285
122.42573012161554, 0.002462264189647157
125.6435589715094, 0.002160377490898169
128.36632328353377, 0.0019150943457337617
131.08911025712263, 0.001622641680545326
